"Tradename";"License #";"UBI";"Street Address";"Suite/Rm";"City";"State";"County";"ZipCode";"PrivDesc";"PrivilegeStatus";"DayPhone";"";""
"ABSOLUTE OILS                                ";"421839";"6034670690010002";"1432 S CLOVERDALE ST          ";"                         ";"SEATTLE                 ";"WA";"KING";"981084825";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"ABUNDANT JOY                                 ";"415684";"6033510790010001";"2418 W SAFARI LN  STE A       ";"                         ";"DEER PARK               ";"WA";"SPOKANE";"990065171";"MARIJUANA PRODUCER TIER 1          ";"ACTIVE (ISSUED)";"5098637841";"";""
"ACME ACRES                                   ";"412892";"6019646730010002";"1845 GURLEY RD                ";"STE A                    ";"GRANGER                 ";"WA";"YAKIMA";"989329444";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"5096432535";"";""
"ACME CONSUMER PRODUCTS                       ";"412655";"6033403500010001";"2666 SMITH ROAD SUITE B       ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982267564";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ACME DIESEL                                  ";"416144";"6033557950010001";"7019 ROAD 9 NW                ";"STE A                    ";"EPHRATA                 ";"WA";"GRANT";"988239722";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"2063841905";"";""
"ACME DIESEL                                  ";"416150";"6033558200010001";"7019 RD 9 NW STE J            ";"                         ";"EPHRATA                 ";"WA";"GRANT";"988239722";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"2066612090";"";""
"ACME MEDICINALS D                            ";"416147";"6033558010010001";"7019 RD 9 NW STE D            ";"                         ";"EPHRATA                 ";"WA";"GRANT";"988239722";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ACME MEDICINALS D                            ";"416148";"6033558010010002";"LOT 7 & 8 FAT CAT LANE STE E  ";"                         ";"SEQUIM                  ";"WA";"CLALLAM";"983827467";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ACME MEDICINALS D                            ";"416149";"6033558010010003";"LOT 7 & 8 FAT CAT LANE STE F  ";"                         ";"SEQUIM                  ";"WA";"CLALLAM";"983827467";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ACME MEDICINALS J                            ";"416151";"6033558200010002";"7019 RD 9 NW STE J2           ";"                         ";"EPHRATA                 ";"WA";"GRANT";"988239722";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ACME MEDICINALS J                            ";"416152";"6033558200010003";"7019 RD 9 NW STE J3           ";"                         ";"EPHRATA                 ";"WA";"GRANT";"988239722";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ACME MEDICINALS M                            ";"416145";"6033557950010002";"LOT 7 & 8 FATCAT LANE STE H   ";"                         ";"SEQUIM                  ";"WA";"CLALLAM";"983827467";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ACME MEDICINALS M                            ";"416146";"6033557950010003";"LOT 7 & 8 FAT CAT LANE STE I  ";"                         ";"SEQUIM                  ";"WA";"CLALLAM";"983827467";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ACME MEDICINALS S                            ";"416141";"6033557810010001";"7019 RD 9 NW STE S            ";"                         ";"EPHRATA                 ";"WA";"GRANT";"988239722";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"2063841904";"";""
"ACME MEDICINALS S                            ";"416142";"6033557810010002";"7019 RD 9 NW STE S2           ";"                         ";"EPHRATA                 ";"WA";"GRANT";"988239722";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ACME MEDICINALS S                            ";"416143";"6033557810010003";"7019 RD 9 NW STE S3           ";"                         ";"EPHRATA                 ";"WA";"GRANT";"988239722";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ACME MOUNTAIN HERB                           ";"412162";"6033497340010001";"960 VALLEY HWY STE A          ";"                         ";"ACME                    ";"WA";"WHATCOM";"982209706";"MARIJUANA PRODUCER TIER 1          ";"CLOSED (PERMANENT)";"          ";"";""
"AD LIB ENTERPRISES                           ";"412418";"6033491830010001";"166 BENSON CREEK DR           ";"STE A                    ";"TWISP                   ";"WA";"OKANOGAN";"988569605";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"2069202619";"";""
"ADVANCED AGRICULTURE                         ";"415734";"6030247700010002";"1199 WEST CUNNINGHAM ROAD     ";"STE I                    ";"OTHELLO                 ";"WA";"ADAMS";"993440000";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"3609080995";"";""
"AENGUS                                       ";"412359";"6033495900010002";"4290 STATE ROUTE 283 N STE B  ";"                         ";"QUINCY                  ";"WA";"GRANT";"988489749";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"AENGUS                                       ";"412360";"6033495900010003";"4290 STATE ROUTE 283 N STE C  ";"                         ";"QUINCY                  ";"WA";"GRANT";"988489749";"MARIJUANA PRODUCER TIER 1          ";"PENDING (NOT ISSUED)";"          ";"";""
"AFTERGLOW FARMS                              ";"417162";"6033634270010001";"19811 S MALLOY PRAIRIE ROAD   ";"                         ";"CHENEY                  ";"WA";"SPOKANE";"990040000";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"AG GROW                                      ";"412557";"6034818100010001";"1902 ORVILLE BOYD RD  STE A   ";"STE A                    ";"PULLMAN                 ";"WA";"WHITMAN";"991636001";"MARIJUANA PRODUCER TIER 2          ";"PENDING (ISSUED)";"2066691690";"";""
"AGAPE RESEARCH WA                            ";"413293";"6033341280010002";"2002 VALLEY HWY STE A         ";"STE A                    ";"ACME                    ";"WA";"WHATCOM";"982209635";"MARIJUANA PRODUCER TIER 3          ";"PENDING (ISSUED)";"2063917365";"";""
"AGAPE RESEARCH WA                            ";"416132";"6033341280010004";"2002 VALLEY HWY STE C         ";"                         ";"ACME                    ";"WA";"WHATCOM";"982209635";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"AGAPE RESEARCH WA                            ";"416169";"6033341280010003";"2002 VALLEY HWY STE B         ";"                         ";"ACME                    ";"WA";"WHATCOM";"982209635";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"AGRI MGT CORP                                ";"417122";"6033585830010001";"15642 RD 2 SW                 ";"                         ";"QUINCY                  ";"WA";"GRANT";"988489548";"MARIJUANA PRODUCER TIER 3          ";"PENDING (ISSUED)";"5093500482";"";""
"AGRI-GREEN NORTHWEST                         ";"415841";"6033552000010001";"9790 PADILLA HEIGHTS RD       ";"                         ";"ANACORTES               ";"WA";"SKAGIT";"982218697";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"AGRIJUANA                                    ";"415998";"6033579540010001";"1810 SE COMMERCE AVE          ";"                         ";"BATTLE GROUND           ";"WA";"CLARK";"986040000";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"3606994724";"";""
"AGRILAB                                      ";"416959";"6034527110010001";"145 GREENACRES RD STE 3       ";"                         ";"RIVERSIDE               ";"WA";"OKANOGAN";"988490000";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"2533802170";"";""
"AGRO COUTURE                                 ";"417142";"6030883930010002";"2919 S ALASKA ST              ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984097804";"MARIJUANA PRODUCER TIER 2          ";"PENDING (ISSUED)";"2065799464";"";""
"AGRO TECHNIC                                 ";"412266";"6033498290010001";"1199 WEST CUNNINGHAM RD STE Q ";"STE Q                    ";"OTHELLO                 ";"WA";"ADAMS";"993440000";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"2066692446";"";""
"AGRO TECHNIC                                 ";"416328";"6033498290010002";"NORTHWEST HORTICULTURE 951 ALL";"951 ALLISON RD STE B     ";"MABTON                  ";"WA";"YAKIMA";"989359482";"MARIJUANA PRODUCER TIER 3          ";"CLOSED (PERMANENT)";"          ";"";""
"AGRO TECHNIC                                 ";"416329";"6033498290010003";"NORTHWEST HORTICULTURE        ";"951 ALLISON RD STE C     ";"MABTON                  ";"WA";"YAKIMA";"989359482";"MARIJUANA PRODUCER TIER 3          ";"CLOSED (PERMANENT)";"          ";"";""
"AGRO TECHNIC LLC                             ";"054440";"6033498290010004";"1951 W CEMETERY RD STE A      ";"                         ";"OTHELLO                 ";"WA";"ADAMS";"993449607";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"AGROPACK                                     ";"412741";"6033514000010001";"391 E EXPORT RD               ";"                         ";"SHELTON                 ";"WA";"MASON";"985840000";"MARIJUANA PRODUCER TIER 2          ";"PENDING (ISSUED)";"3604623400";"";""
"AHUI                                         ";"412015";"6034827300010001";"3303 S 35TH ST                ";"STE A4                   ";"TACOMA                  ";"WA";"PIERCE";"984090000";"MARIJUANA PRODUCER TIER 1          ";"PENDING (NOT ISSUED)";"          ";"";""
"AIS                                          ";"416612";"6026784230010002";"15812 NE 10TH AVE STE A       ";"                         ";"RIDGEFIELD              ";"WA";"CLARK";"986425727";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"3605211426";"";""
"AISLING ENTERPRISES                          ";"413288";"6029906840010001";"3833 EAST BISMARK AVE         ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992176504";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"5093155419";"";""
"AKULE STREET                                 ";"416615";"6026455350010001";"2000 ROZA DRIVE               ";"PEN A                    ";"ZILLAH                  ";"WA";"YAKIMA";"989530000";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"ALASKAN GREEN ACRES                          ";"413658";"6004490390010002";"5390 STATE RT 12 UNIT A       ";"                         ";"MALONE                  ";"WA";"GRAYS HARBOR";"985900000";"MARIJUANA PRODUCER TIER 1          ";"PENDING (ISSUED)";"3604911658";"";""
"ALDEN JAY FOOTE                              ";"416127";"6033599370010001";"6241 COTTONWOOD RD            ";"STE A                    ";"WALLA WALLA             ";"WA";"WALLA WALLA";"993621593";"MARIJUANA PRODUCER TIER 1          ";"ACTIVE (ISSUED)";"5093015401";"";""
"ALFHILD VENTURES                             ";"413203";"6033560860010002";"13026 W MCFARLANE RD          ";"                         ";"AIRWAY HEIGHTS          ";"WA";"SPOKANE";"990015099";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ALFHILD VENUTURES                            ";"413202";"6033560860010001";"4506 MERIDIAN ST              ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982250000";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ALIS GROUP                                   ";"416670";"6033248100010003";"4200 24TH AVE W               ";"                         ";"SEATTLE                 ";"WA";"KING";"981991216";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"ALIS GROUP                                   ";"418321";"6033248100010004";"624 S LANDER ST STE 47 STE B  ";"                         ";"SEATTLE                 ";"WA";"KING";"981342041";"MARIJUANA PRODUCER TIER 1          ";"PENDING (NOT ISSUED)";"          ";"";""
"ALKI FARMS                                   ";"416505";"6033608350010001";"681 SWAN RD                   ";"STE A                    ";"SUNNYSIDE               ";"WA";"YAKIMA";"989449670";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"5098374394";"";""
"ALKI HERBAL                                  ";"412371";"6033478080010001";"1128 SW SPOKANE ST            ";"STE 300                  ";"SEATTLE                 ";"WA";"KING";"981341128";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"2068984378";"";""
"ALL GREEN FARMS                              ";"416330";"6033498480010001";"7800 POSTMA RD #7             ";"STE #7                   ";"MOXEE                   ";"WA";"YAKIMA";"989360000";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"5099481157";"";""
"ALL NATURAL PRODUCTS                         ";"417330";"6033497830010001";"6700 S OLD PACIFIC HWY        ";"                         ";"KALAMA                  ";"WA";"COWLITZ";"986250000";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ALL NATURAL PRODUCTS                         ";"417331";"6033497830010002";"PARCEL NO. 14092632054        ";"UNIT 3                   ";"RAYMOND                 ";"WA";"PACIFIC";"985770000";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ALL NATURAL PRODUCTS                         ";"417332";"6033497830010003";"PARCEL NO. 14092632054        ";"UNIT 2                   ";"RAYMOND                 ";"WA";"PACIFIC";"985770000";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ALL ORGANICS                                 ";"412167";"6033498640010001";"560-2 HAWK HAVEN RD           ";"                         ";"CLE ELUM                ";"WA";"KITTITAS";"989228421";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"ALLIANCE 502, LLC                            ";"412949";"6035256700010001";"139 GREENACRES RD #2          ";"                         ";"RIVERSIDE               ";"WA";"OKANOGAN";"988490000";"MARIJUANA PRODUCER TIER 2          ";"PENDING (ISSUED)";"2067348391";"";""
"ALMOJERA FARMS                               ";"416571";"6033615490010001";"4593 BAY RD                   ";"STE B                    ";"BLAINE                  ";"WA";"WHATCOM";"982300000";"MARIJUANA PRODUCER TIER 2          ";"PENDING (NOT ISSUED)";"          ";"";""
"ALON                                         ";"416081";"6033547880010001";"234 OMAK RIVER RD   UNIT 2    ";"                         ";"OMAK                    ";"WA";"OKANOGAN";"988419673";"MARIJUANA PRODUCER TIER 3          ";"CLOSED (PERMANENT)";"          ";"";""
"ALON                                         ";"416082";"6033547880010002";"29015 FUCHSL RD STE B         ";"                         ";"ARLINGTON               ";"WA";"SNOHOMISH";"98223    ";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ALON                                         ";"416083";"6033547880010003";"29015 FUCHSL RD STE C         ";"                         ";"ARLINGTON               ";"WA";"SNOHOMISH";"98223    ";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"ALON                                         ";"422685";"6033547880010005";"127 BOUNDARY POINT RD         ";"                         ";"OROVILLE                ";"WA";"OKANOGAN";"988449563";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"4257754619";"";""
"ALPHA BUDZ                                   ";"413066";"6033508930010001";"185 ZEPEDA RD BLDG 1          ";"                         ";"FORKS                   ";"WA";"CLALLAM";"983319606";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"3606400391";"";""
"ALPHA TURTLE PRODUCTIONS                     ";"412999";"6033525800010001";"12742 ZELLER RD SE #A         ";"                         ";"YELM                    ";"WA";"THURSTON";"985979207";"MARIJUANA PRODUCER TIER 1          ";"ACTIVE (ISSUED)";"2534052257";"";""
"ALTERED STATE                                ";"413958";"6035193140010001";"1902 ORVILLE BOYD RD          ";"STE C                    ";"PULLMAN                 ";"WA";"WHITMAN";"981120000";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"5092931360";"";""
"ALTO BUDDHA                                  ";"419833";"6033590290010003";"18800 BEAVER VALLEY RD        ";"                         ";"LEAVENWORTH             ";"WA";"CHELAN";"988269165";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"3604717765";"";""
"AMAZINGARDENS                                ";"416989";"6033510590010001";"23930 OSO LOOP ROAD           ";"STE B                    ";"ARLINGTON               ";"WA";"SNOHOMISH";"982235399";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"4254439793";"";""
"AMERICAN BEST SUPPLY                         ";"412624";"6032675640010001";"4185 OLD MONITOR RD, STE A    ";"                         ";"MONITOR                 ";"WA";"CHELAN";"988360000";"MARIJUANA PRODUCER TIER 1          ";"ACTIVE (ISSUED)";"5098608330";"";""
"AMERICAN FARMS                               ";"416387";"6033510150010001";"3478 ENTIAT RIVER RD          ";"                         ";"ENTIAT                  ";"WA";"CHELAN";"988229714";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"5098818707";"";""
"AMERICAN FARMS                               ";"416388";"6033510150010002";"PANGBORN BUSINESS PARK        ";"3306 5TH ST SE SITE 2    ";"EAST WENATCHEE          ";"WA";"DOUGLAS";"988029226";"MARIJUANA PRODUCER TIER 3          ";"CLOSED (PERMANENT)";"          ";"";""
"AMERICAN FARMS                               ";"419022";"6033510150010004";"13026 W MCFARLANE RD STE B1   ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"990010000";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"AMERICAN SENSI COMPANY                       ";"412735";"6034085890010001";"1625 CENTER ST                ";"SUITE C                  ";"TACOMA                  ";"WA";"PIERCE";"984097920";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"3605568262";"";""
"AMERICANNA NATURALS                          ";"413852";"6033531690010003";"0 CARROLL RD STE C            ";"                         ";"ELLENSBURG              ";"WA";"KITTITAS";"98926    ";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"AMERICANNA NATURALS                          ";"413853";"6033531690010002";"0 CARROLL RD STE B            ";"                         ";"ELLENSBURG              ";"WA";"KITTITAS";"98296    ";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"AMERICANNA NATURALS                          ";"413854";"6033531690010001";"26420 PIONEER WAY NW          ";"STE A                    ";"POULSBO                 ";"WA";"KITSAP";"983700000";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"AMERICANNA SEATTLE                           ";"415688";"6033500760010002";"6111 12 AVE S                 ";"STE A                    ";"SEATTLE                 ";"WA";"KING";"981082703";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"AMERIKAN WEED                                ";"412991";"6033561190010001";"3223 C ST NE   UNIT 9         ";"UNIT 9                   ";"AUBURN                  ";"WA";"KING";"980021720";"MARIJUANA PRODUCER TIER 1          ";"ACTIVE (ISSUED)";"2533974738";"";""
"AMERIKAN WEED                                ";"415619";"6033589350010001";"6820 112 ST E UNIT D          ";"                         ";"PUYALLUP                ";"WA";"PIERCE";"983734606";"MARIJUANA PRODUCER TIER 1          ";"PENDING (NOT ISSUED)";"          ";"";""
"ANANDA WASHINGTON                            ";"416759";"6033591840010001";"130 CHESAW RD STE B           ";"                         ";"OROVILLE                ";"WA";"OKANOGAN";"988440000";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"5035226568";"";""
"ANCIENT HERB                                 ";"414463";"6011729710010003";"7629 KIMBERLY DR WAY          ";"                         ";"FORD                    ";"WA";"STEVENS";"990139738";"MARIJUANA PRODUCER TIER 1          ";"PENDING (ISSUED)";"5092587364";"";""
"ANDY FEIL FARMS                              ";"417334";"6026923650010003";"650 VANWELL ST STE B          ";"                         ";"EAST WENATCHEE          ";"WA";"DOUGLAS";"988029323";"MARIJUANA PRODUCER TIER 3          ";"CLOSED (PERMANENT)";"          ";"";""
"ANTHONY GENE ROSSO                           ";"416925";"6033622480010001";"1209 HWY 281 SPUR             ";"STE F                    ";"QUINCY                  ";"WA";"YAKIMA";"988480699";"MARIJUANA PRODUCER TIER 2          ";"CLOSED (PERMANENT)";"          ";"";""
"ANTHONY GENE ROSSO                           ";"423297";"6033622480010002";"1209 HWY 281 SPUR STE F       ";"STE F                    ";"QUINCY                  ";"WA";"GRANT";"988480699";"MARIJUANA PRODUCER TIER 2          ";"ACTIVE (ISSUED)";"2067308667";"";""
"ANTOINE CREEK FARMS                          ";"412138";"6033484830010001";"659 ANTOINE CREEK RD          ";"                         ";"CHELAN                  ";"WA";"OKANOGAN";"988168653";"MARIJUANA PRODUCER TIER 3          ";"PENDING (ISSUED)";"2068562856";"";""
"APPLICATION SOFTWARE PRODUCTS                ";"414237";"6005059380010005";"8109 E BRATT RD STE B         ";"                         ";"FAIRFIELD               ";"WA";"SPOKANE";"990129654";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"APPLICATION SOFTWARE PRODUCTS                ";"414238";"6005059380010006";"8109 E BRATT RD #C            ";"                         ";"FAIRFIELD               ";"WA";"SPOKANE";"990129654";"MARIJUANA PRODUCER TIER 3          ";"PENDING (NOT ISSUED)";"          ";"";""
"APPLICATION SOFTWARE PRODUCTS                ";"415727";"6005059380010003";"1802 N LANGLEY STE #2         ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992120000";"MARIJUANA PRODUCER TIER 3          ";"ACTIVE (ISSUED)";"5099813109";"";""
