"Tradename";"License #";"UBI";"Street Address";"Suite/Rm";"City";"State";"County";"ZipCode";"PrivDesc";"PrivilegeStatus";"DayPhone";"";""
"420 PRODUCTS                                 ";"412742";"6033512340010001";"21 154TH DR SE    STE A       ";"STE A                    ";"SNOHOMISH               ";"WA";"SNOHOMISH";"982907780";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2067943797";"";""
"47 DEGREES NORTH                             ";"416340";"6033531780010001";"28221 N NORTH RD              ";"                         ";"DEER PARK               ";"WA";"SPOKANE";"990069363";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2063750631";"";""
"4EVERGREEN TREES                             ";"413855";"6033532860010002";"3303 S 35TH ST                ";"STE B-18                 ";"TACOMA                  ";"WA";"PIERCE";"984090000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"502 DISTRIBUTION                             ";"413907";"6033560850010001";"1328 276TH ST E               ";"STE A                    ";"SPANAWAY                ";"WA";"PIERCE";"983879710";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5038600606";"";""
"502 PROCESSOR'S GROUP                        ";"413478";"6033556720010001";"2942 1ST AVE S                ";"                         ";"SEATTLE                 ";"WA";"KING";"981341820";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"4147310189";"";""
"509 DA KINE                                  ";"412599";"6033473350010001";"19 GUN CLUB RD STE A          ";"                         ";"BREWSTER                ";"WA";"DOUGLAS";"988129631";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5096860178";"";""
"5TH HOUSE FARMS                              ";"416057";"6034232790010001";"19425 OLD HWY 99 SW STE A     ";"                         ";"ROCHESTER               ";"WA";"THURSTON";"985799124";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"4255311122";"";""
"A NEW LEAF                                   ";"416356";"6033220100010001";"26713 SW ROAD U               ";"#B                       ";"MATTAWA                 ";"WA";"GRANT";"993490000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"A-ACTION GROUP UTILITIES                     ";"416630";"6021417030010001";"1199 W CUNNINGHAM RD          ";"STE P3                   ";"OTHELLO                 ";"WA";"ADAMS";"993440000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3608704970";"";""
"AARONS ORIGINAL                              ";"412986";"6001830100010005";"177 RAREY RD                  ";"                         ";"WINLOCK                 ";"WA";"LEWIS";"985969663";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ABI MANAGMENT                                ";"413098";"6033501030010002";"4101 161ST ST AVE COURT KP S  ";"STE B                    ";"LONGBRANCH              ";"WA";"PIERCE";"983518100";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ABILENE PRODUCTIONS LLC                      ";"416657";"6035043200010001";"1926 PINE CR RD   UNIT 5      ";"                         ";"TONASKET                ";"WA";"OKANOGAN";"988550000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2067958838";"";""
"ABSOLUTE EDIBLES                             ";"416661";"6034163880010001";"202 N CRESTLINE STE C         ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992023005";"MARIJUANA PROCESSOR                ";"CLOSED (PERMANENT)";"          ";"";""
"ABSOLUTE OILS                                ";"415964";"6034670690010001";"75 S LUCILE ST                ";"                         ";"SEATTLE                 ";"WA";"KING";"981342418";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ABSOLUTE OILS                                ";"415965";"6032805190010003";"17207 JORDAN RD STE B         ";"                         ";"ARLINGTON               ";"WA";"SNOHOMISH";"982235803";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ABUNDANT JOY                                 ";"415684";"6033510790010001";"2418 W SAFARI LN  STE A       ";"                         ";"DEER PARK               ";"WA";"SPOKANE";"990065171";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5098637841";"";""
"ACME ACRES                                   ";"412892";"6019646730010002";"1845 GURLEY RD                ";"STE A                    ";"GRANGER                 ";"WA";"YAKIMA";"989329444";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5096432535";"";""
"ACME CONSUMER PRODUCTS                       ";"412655";"6033403500010001";"2666 SMITH ROAD SUITE B       ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982267564";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ACME DIESEL                                  ";"416144";"6033557950010001";"7019 ROAD 9 NW                ";"STE A                    ";"EPHRATA                 ";"WA";"GRANT";"988239722";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2063841905";"";""
"ACME DIESEL                                  ";"416150";"6033558200010001";"7019 RD 9 NW STE J            ";"                         ";"EPHRATA                 ";"WA";"GRANT";"988239722";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2066612090";"";""
"ACME MEDICINALS D                            ";"416147";"6033558010010001";"7019 RD 9 NW STE D            ";"                         ";"EPHRATA                 ";"WA";"GRANT";"988239722";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ACME MEDICINALS S                            ";"416141";"6033557810010001";"7019 RD 9 NW STE S            ";"                         ";"EPHRATA                 ";"WA";"GRANT";"988239722";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2063841904";"";""
"ACME MOUNTAIN HERB                           ";"412162";"6033497340010001";"960 VALLEY HWY STE A          ";"                         ";"ACME                    ";"WA";"WHATCOM";"982209706";"MARIJUANA PROCESSOR                ";"CLOSED (PERMANENT)";"          ";"";""
"AD LIB ENTERPRISES                           ";"412418";"6033491830010001";"166 BENSON CREEK DR           ";"STE A                    ";"TWISP                   ";"WA";"OKANOGAN";"988569605";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2069202619";"";""
"ADE ORGANICS                                 ";"416040";"6033581180010001";"1926 PINE CREEK RD UNIT 6     ";"                         ";"TONASKET                ";"WA";"OKANOGAN";"988550000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2069816757";"";""
"ADVANCED AGRICULTURE                         ";"415734";"6030247700010002";"1199 WEST CUNNINGHAM ROAD     ";"STE I                    ";"OTHELLO                 ";"WA";"ADAMS";"993440000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3609080995";"";""
"AENGUS                                       ";"412359";"6033495900010002";"4290 STATE ROUTE 283 N STE B  ";"                         ";"QUINCY                  ";"WA";"GRANT";"988489749";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"AENGUS                                       ";"412360";"6033495900010003";"4290 STATE ROUTE 283 N STE C  ";"                         ";"QUINCY                  ";"WA";"GRANT";"988489749";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"AG GROW                                      ";"412557";"6034818100010001";"1902 ORVILLE BOYD RD  STE A   ";"STE A                    ";"PULLMAN                 ";"WA";"WHITMAN";"991636001";"MARIJUANA PROCESSOR                ";"PENDING (ISSUED)";"2066691690";"";""
"AGAPE RESEARCH WA                            ";"413293";"6033341280010002";"2002 VALLEY HWY STE A         ";"STE A                    ";"ACME                    ";"WA";"WHATCOM";"982209635";"MARIJUANA PROCESSOR                ";"PENDING (ISSUED)";"2063917365";"";""
"AGAPE RESEARCH WA                            ";"416132";"6033341280010004";"2002 VALLEY HWY STE C         ";"                         ";"ACME                    ";"WA";"WHATCOM";"982209635";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"AGAPE RESEARCH WA                            ";"416169";"6033341280010003";"2002 VALLEY HWY STE B         ";"                         ";"ACME                    ";"WA";"WHATCOM";"982209635";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"AGRI MGT CORP                                ";"417122";"6033585830010001";"15642 RD 2 SW                 ";"                         ";"QUINCY                  ";"WA";"GRANT";"988489548";"MARIJUANA PROCESSOR                ";"PENDING (ISSUED)";"5093500482";"";""
"AGRI-GREEN NORTHWEST                         ";"415841";"6033552000010001";"9790 PADILLA HEIGHTS RD       ";"                         ";"ANACORTES               ";"WA";"SKAGIT";"982218697";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"AGRIJUANA                                    ";"415998";"6033579540010001";"1810 SE COMMERCE AVE          ";"                         ";"BATTLE GROUND           ";"WA";"CLARK";"986040000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3606994724";"";""
"AGRILAB                                      ";"416959";"6034527110010001";"145 GREENACRES RD STE 3       ";"                         ";"RIVERSIDE               ";"WA";"OKANOGAN";"988490000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2533802170";"";""
"AGRO COUTURE                                 ";"417142";"6030883930010002";"2919 S ALASKA ST              ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984097804";"MARIJUANA PROCESSOR                ";"PENDING (ISSUED)";"2065799464";"";""
"AGRO TECHNIC                                 ";"412266";"6033498290010001";"1199 WEST CUNNINGHAM RD STE Q ";"STE Q                    ";"OTHELLO                 ";"WA";"ADAMS";"993440000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2066692446";"";""
"AGRO TECHNIC LLC                             ";"054440";"6033498290010004";"1951 W CEMETERY RD STE A      ";"                         ";"OTHELLO                 ";"WA";"ADAMS";"993449607";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"AGROPACK                                     ";"412741";"6033514000010001";"391 E EXPORT RD               ";"                         ";"SHELTON                 ";"WA";"MASON";"985840000";"MARIJUANA PROCESSOR                ";"PENDING (ISSUED)";"3604623400";"";""
"AHUI                                         ";"412015";"6034827300010001";"3303 S 35TH ST                ";"STE A4                   ";"TACOMA                  ";"WA";"PIERCE";"984090000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"AIS                                          ";"416612";"6026784230010002";"15812 NE 10TH AVE STE A       ";"                         ";"RIDGEFIELD              ";"WA";"CLARK";"986425727";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3605211426";"";""
"AISLING ENTERPRISES                          ";"413288";"6029906840010001";"3833 EAST BISMARK AVE         ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992176504";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5093155419";"";""
"AKULE STREET                                 ";"416615";"6026455350010001";"2000 ROZA DRIVE               ";"PEN A                    ";"ZILLAH                  ";"WA";"YAKIMA";"989530000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ALDEN JAY FOOTE                              ";"416127";"6033599370010001";"6241 COTTONWOOD RD            ";"STE A                    ";"WALLA WALLA             ";"WA";"WALLA WALLA";"993621593";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5093015401";"";""
"ALFHILD VENTURES                             ";"413203";"6033560860010002";"13026 W MCFARLANE RD          ";"                         ";"AIRWAY HEIGHTS          ";"WA";"SPOKANE";"990015099";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ALFHILD VENUTURES                            ";"413202";"6033560860010001";"4506 MERIDIAN ST              ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982250000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ALIS GROUP                                   ";"415700";"6033248100010001";"624 S LANDER ST STE 47        ";"                         ";"SEATTLE                 ";"WA";"KING";"981342041";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"4257864549";"";""
"ALIS GROUP                                   ";"416670";"6033248100010003";"4200 24TH AVE W               ";"                         ";"SEATTLE                 ";"WA";"KING";"981991216";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ALKI HERBAL                                  ";"412371";"6033478080010001";"1128 SW SPOKANE ST            ";"STE 300                  ";"SEATTLE                 ";"WA";"KING";"981341128";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2068984378";"";""
"ALL GREEN FARMS                              ";"416330";"6033498480010001";"7800 POSTMA RD #7             ";"STE #7                   ";"MOXEE                   ";"WA";"YAKIMA";"989360000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5099481157";"";""
"ALL NATURAL PAIN RELIEF PRODUCTS             ";"416228";"6033564580010001";"2515 HARTFORD DR STE A        ";"                         ";"LAKE STEVENS            ";"WA";"SNOHOMISH";"982589717";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2533502211";"";""
"ALL NATURAL PRODUCTS                         ";"417330";"6033497830010001";"6700 S OLD PACIFIC HWY        ";"                         ";"KALAMA                  ";"WA";"COWLITZ";"986250000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ALL ORGANICS                                 ";"412167";"6033498640010001";"560-2 HAWK HAVEN RD           ";"                         ";"CLE ELUM                ";"WA";"KITTITAS";"989228421";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ALON                                         ";"416081";"6033547880010001";"234 OMAK RIVER RD   UNIT 2    ";"                         ";"OMAK                    ";"WA";"OKANOGAN";"988419673";"MARIJUANA PROCESSOR                ";"CLOSED (PERMANENT)";"          ";"";""
"ALON                                         ";"422685";"6033547880010005";"127 BOUNDARY POINT RD         ";"                         ";"OROVILLE                ";"WA";"OKANOGAN";"988449563";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"4257754619";"";""
"ALPHA BUDZ                                   ";"413066";"6033508930010001";"185 ZEPEDA RD BLDG 1          ";"                         ";"FORKS                   ";"WA";"CLALLAM";"983319606";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3606400391";"";""
"ALTO BUDDHA                                  ";"416753";"6033590290010001";"5526 INDUSTRY LANE STE 1      ";"STE 1                    ";"EAST WENATCHEE          ";"WA";"DOUGLAS";"988020000";"MARIJUANA PROCESSOR                ";"PENDING (ISSUED)";"3604717765";"";""
"ALTO BUDDHA                                  ";"416754";"6033590290010002";"25935 UNITED ROAD             ";"                         ";"KINGSTON                ";"WA";"KITSAP";"983460000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"AMBER BRICK                                  ";"416929";"6033588610010001";"5473 GUIDE MERIDIAN STE B & C ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982269771";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2067990755";"";""
"AMERICAN BAKED CO                            ";"417065";"6033592820010001";"3810 AIRPORT WAY S #110       ";"                         ";"SEATTLE                 ";"WA";"KING";"981085214";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2062719491";"";""
"AMERICAN BEST SUPPLY                         ";"412624";"6032675640010001";"4185 OLD MONITOR RD, STE A    ";"                         ";"MONITOR                 ";"WA";"CHELAN";"988360000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5098608330";"";""
"AMERICAN FARMS                               ";"416387";"6033510150010001";"3478 ENTIAT RIVER RD          ";"                         ";"ENTIAT                  ";"WA";"CHELAN";"988229714";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5098818707";"";""
"AMERICAN SENSI COMPANY                       ";"412735";"6034085890010001";"1625 CENTER ST                ";"SUITE C                  ";"TACOMA                  ";"WA";"PIERCE";"984097920";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3605568262";"";""
"AMERICANNA NATURALS                          ";"413854";"6033531690010001";"26420 PIONEER WAY NW          ";"STE A                    ";"POULSBO                 ";"WA";"KITSAP";"983700000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"AMERICANNA SEATTLE                           ";"415688";"6033500760010002";"6111 12 AVE S                 ";"STE A                    ";"SEATTLE                 ";"WA";"KING";"981082703";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"AMERIKAN WEED                                ";"412991";"6033561190010001";"3223 C ST NE   UNIT 9         ";"UNIT 9                   ";"AUBURN                  ";"WA";"KING";"980021720";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2533974738";"";""
"AMERIKAN WEED                                ";"415619";"6033589350010001";"6820 112 ST E UNIT D          ";"                         ";"PUYALLUP                ";"WA";"PIERCE";"983734606";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ANANDA WASHINGTON                            ";"419553";"6033591840010002";"5845 192ND AVE SW STE 101     ";"                         ";"ROCHESTER               ";"WA";"THURSTON";"985799201";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5035226568";"";""
"ANCHOR BAKERY                                ";"415961";"6031780350010001";"12015 AURORA AVE N STE 1      ";"                         ";"SEATTLE                 ";"WA";"KING";"981338249";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2063107035";"";""
"ANCIENT HERB                                 ";"414463";"6011729710010003";"7629 KIMBERLY DR WAY          ";"                         ";"FORD                    ";"WA";"STEVENS";"990139738";"MARIJUANA PROCESSOR                ";"PENDING (ISSUED)";"5092587364";"";""
"ANTHONY GENE ROSSO                           ";"416925";"6033622480010001";"1209 HWY 281 SPUR             ";"STE F                    ";"QUINCY                  ";"WA";"YAKIMA";"988480699";"MARIJUANA PROCESSOR                ";"CLOSED (PERMANENT)";"          ";"";""
"ANTHONY GENE ROSSO                           ";"423297";"6033622480010002";"1209 HWY 281 SPUR STE F       ";"STE F                    ";"QUINCY                  ";"WA";"GRANT";"988480699";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2067308667";"";""
"ANTOINE CREEK FARMS                          ";"412138";"6033484830010001";"659 ANTOINE CREEK RD          ";"                         ";"CHELAN                  ";"WA";"OKANOGAN";"988168653";"MARIJUANA PROCESSOR                ";"PENDING (ISSUED)";"2068562856";"";""
"APPLICATION SOFTWARE PRODUCTS                ";"415727";"6005059380010003";"1802 N LANGLEY STE #2         ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992120000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5099813109";"";""
"AQUA ORGANICS                                ";"413113";"6019964290010002";"82 PORTAGE PLACE UNIT B       ";"                         ";"FRIDAY HARBOR           ";"WA";"SAN JUAN";"982500000";"MARIJUANA PROCESSOR                ";"CLOSED (PERMANENT)";"          ";"";""
"AQUA ORGANICS                                ";"423261";"6019964290010003";"23930 OSO LOOP RD STE G       ";"                         ";"ARLINGTON               ";"WA";"SNOHOMISH";"982235399";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3602094224";"";""
"ARBOR ENTERPRISES                            ";"416043";"6033584690010001";"86 BADGER RD                  ";"                         ";"HOQUIAM                 ";"WA";"GRAYS HARBOR";"985500000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2068525911";"";""
"ARCHANGEL BOTANICALS                         ";"413912";"6033752390010001";"24 COW TRAIL ROAD             ";"                         ";"TONASKET                ";"WA";"OKANOGAN";"988559715";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ARTIZEN CANNABIS COMPANY                     ";"413462";"6033551430010001";"2660 WILLIAMETTE DR           ";"                         ";"LACEY                   ";"WA";"THURSTON";"985160000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2063174419";"";""
"ARTIZEN CANNABIS COMPANY                     ";"417105";"6033551430010002";"25421 MARINE DR               ";"                         ";"STANWOOD                ";"WA";"SNOHOMISH";"982929343";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ATF FARMS                                    ";"417335";"6026923650010004";"440 GRUBB RD  STE 1           ";"                         ";"WENATCHEE               ";"WA";"CHELAN";"988010000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5098604928";"";""
"ATLAS BRAND                                  ";"412788";"6033493280010001";"210 JONES RD                  ";"STE A                    ";"SEDRO WOOLLEY           ";"WA";"SKAGIT";"982840000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"ATOMIC GREEN                                 ";"413209";"6033563900010001";"6031 OLD OLYMPIC HWY SW STE A ";"                         ";"OLYMPIA                 ";"WA";"THURSTON";"985129425";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3605612500";"";""
"AUNT DONNA'S                                 ";"412850";"6033510270010002";"3710 US 97 ALTERNATE          ";"                         ";"WENATCHEE               ";"WA";"CHELAN";"988010000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"AUNT DONNA'S                                 ";"412851";"6033510270010001";"1725 OCEAN AVE BUILDING 5A    ";"                         ";"RAYMOND                 ";"WA";"PACIFIC";"985779596";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"AUNTIE ONOLICIOUS                            ";"415452";"6033477820010003";"123 BLACK BEAR RD STE B       ";"                         ";"PORT TOWNSEND           ";"WA";"JEFFERSON";"983689621";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3607740309";"";""
"AURICAG                                      ";"412118";"6033458030010001";"820 S CHARLESTOWN             ";"                         ";"SEATTLE                 ";"WA";"KING";"981340000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2062261391";"";""
"AURUM FARMS                                  ";"412110";"6033409730010001";"21516 95TH ST SE              ";"                         ";"SNOHOMISH               ";"WA";"SNOHOMISH";"982907254";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3603488489";"";""
"AUTREES NURSERY                              ";"416175";"6035197560010001";"3171 GOLDIE RD BLDG E         ";"                         ";"OAK HARBOR              ";"WA";"ISLAND";"982772732";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2062263222";"";""
"AVITAS                                       ";"412759";"6032711860010002";"25404 STATE ROUTE 9 STE B     ";"                         ";"ARLINGTON               ";"WA";"SNOHOMISH";"982230000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2069531509";"";""
"AXABRA                                       ";"412438";"6033491280010001";"3230 E RIVERSIDE AVE STE 110  ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992020000";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"4259987057";"";""
"AYRA                                         ";"416755";"6033590570010001";"676 S INDUSTRIAL WAY          ";"                         ";"SEATTLE                 ";"WA";"KING";"981085236";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"BACONS BUDS                                  ";"412288";"6033503570010001";"181 KATIES LN SUITE B         ";"                         ";"WASHOUGAL               ";"WA";"SKAMANIA";"986717397";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3608371713";"";""
"BAD ASS HERBS                                ";"412626";"6031070570010001";"744 STATE ROUTE 173 UNIT B    ";"                         ";"BREWSTER                ";"WA";"DOUGLAS";"988129661";"MARIJUANA PROCESSOR                ";"PENDING (ISSUED)";"5096866211";"";""
"BAHR FARM & NURSERY                          ";"416926";"6033504680010001";"42215 284TH AVE SE STE A      ";"STE A                    ";"ENUMCLAW                ";"WA";"KING";"980229227";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"2533346892";"";""
"BAJR                                         ";"412992";"6033556550010001";"410 RONLEE LN NW A2           ";"                         ";"OLYMPIA                 ";"WA";"THURSTON";"985029266";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3602925616";"";""
"BAKECATION                                   ";"412219";"6033345530010001";"470 W 2ND ST STE 106          ";"                         ";"SUMAS                   ";"WA";"WHATCOM";"982959680";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"3603756042";"";""
"BAKKHOS HOLDING                              ";"416233";"6033533760010003";"7532 WEST BOATIAN RD LOT 2    ";"                         ";"WOODINVILLE             ";"WA";"SNOHOMISH";"980720000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"BAKKHOS HOLDING                              ";"416341";"6033533760010002";"7532 WEST BOATIAN RD LOT 1    ";"                         ";"WOODINVILLE             ";"WA";"KING";"980720000";"MARIJUANA PROCESSOR                ";"PENDING (NOT ISSUED)";"          ";"";""
"BANG'S CANNABIS COMPANY                      ";"412402";"6035197580010001";"12917 S SHORT RD              ";"STE A                    ";"CHENEY                  ";"WA";"SPOKANE";"990049545";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5095599090";"";""
"BBB FARMS                                    ";"412601";"6033467850010001";"161 KIRKPATRICK RD            ";"                         ";"ELK                     ";"WA";"PEND OREILLE";"990099533";"MARIJUANA PROCESSOR                ";"ACTIVE (ISSUED)";"5099398539";"";""
